"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","TCP","74","35902  >  34567 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1269990663 TSecr=0 WS=512"
"2","30.805738698","00:00:00_00:00:03","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.3"
"3","30.957066633","00:00:00_00:00:02","00:00:00_00:00:03","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"4","31.008095801","10.0.0.3","10.0.0.2","TCP","74","42286  >  34568 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=2650295396 TSecr=0 WS=512"
"5","31.160088714","10.0.0.2","10.0.0.3","TCP","74","34568  >  42286 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=3792312647 TSecr=2650295396 WS=512"
"6","31.210718306","10.0.0.3","10.0.0.2","TCP","66","42286  >  34568 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2650295801 TSecr=3792312647"
"7","31.234960617","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=2896 TSval=2650295801 TSecr=3792312647"
"8","31.259370665","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=2897 Ack=1 Win=42496 Len=2896 TSval=2650295801 TSecr=3792312647"
"9","31.283843340","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=5793 Ack=1 Win=42496 Len=2896 TSval=2650295801 TSecr=3792312647"
"10","31.307694905","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=8689 Ack=1 Win=42496 Len=2896 TSval=2650295801 TSecr=3792312647"
"11","31.331906817","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=11585 Ack=1 Win=42496 Len=2896 TSval=2650295801 TSecr=3792312647"
"12","31.385527759","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=2897 Win=41984 Len=0 TSval=3792312873 TSecr=2650295801"
"13","31.410515440","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=5793 Win=41984 Len=0 TSval=3792312898 TSecr=2650295801"
"14","31.434592621","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=3792312922 TSecr=2650295801"
"15","31.458355937","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=11585 Win=41984 Len=0 TSval=3792312946 TSecr=2650295801"
"16","31.459841172","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=14481 Ack=1 Win=42496 Len=2896 TSval=2650296027 TSecr=3792312873"
